"","Tm","Year","Rank_rb","good_rb_def","Rank_wr","good_wr_def","Rank_te","good_te_def","Rank_qb","good_qb_def","tot_rank","good_def"
"295","New York Giants",2011,16,"No",4,"No",5,"No",6,"No",31,"No"
"296","Oakland Raiders",2012,7,"No",16,"No",3,"No",5,"No",31,"No"
"297","Atlanta Falcons",2018,4,"No",5,"No",21,"Yes",1,"No",31,"No"
"298","Oakland Raiders",2013,4,"No",6,"No",18,"Yes",3,"No",31,"No"
"299","Denver Broncos",2010,1,"No",19,"Yes",5,"No",6,"No",31,"No"
"300","Minnesota Vikings",2011,14,"No",3,"No",10,"No",2,"No",29,"No"
"301","Seattle Seahawks",2010,5,"No",3,"No",18,"Yes",3,"No",29,"No"
"302","Tennessee Titans",2012,2,"No",10,"No",5,"No",11,"No",28,"No"
"303","Tampa Bay Buccaneers",2012,18,"Yes",1,"No",4,"No",2,"No",25,"No"
"304","Cincinnati Bengals",2018,2,"No",18,"Yes",1,"No",4,"No",25,"No"
"305","Chicago Bears",2014,11,"No",9,"No",2,"No",2,"No",24,"No"
"306","New York Giants",2017,10,"No",11,"No",2,"No",1,"No",24,"No"
"307","Jacksonville Jaguars",2010,9,"No",7,"No",3,"No",5,"No",24,"No"
"308","Tampa Bay Buccaneers",2018,6,"No",6,"No",9,"No",3,"No",24,"No"
"309","Atlanta Falcons",2016,6,"No",9,"No",6,"No",2,"No",23,"No"
"310","Kansas City Chiefs",2018,3,"No",13,"No",2,"No",5,"No",23,"No"
"311","Houston Texans",2010,8,"No",2,"No",10,"No",1,"No",21,"No"
"312","Green Bay Packers",2011,13,"No",2,"No",2,"No",3,"No",20,"No"
"313","New York Giants",2015,9,"No",7,"No",2,"No",2,"No",20,"No"
"314","Tennessee Titans",2009,9,"No",3,"No",6,"No",2,"No",20,"No"
"315","Cleveland Browns",2016,2,"No",13,"No",1,"No",1,"No",17,"No"
"316","Dallas Cowboys",2013,1,"No",10,"No",3,"No",2,"No",16,"No"
"317","Minnesota Vikings",2013,7,"No",2,"No",4,"No",1,"No",14,"No"
"318","New Orleans Saints",2015,3,"No",9,"No",1,"No",1,"No",14,"No"
"319","New Orleans Saints",2012,1,"No",2,"No",6,"No",1,"No",10,"No"
"320","Detroit Lions",2009,1,"No",4,"No",3,"No",1,"No",9,"No"
