"","Player","GamesPlayed","Goals","Assists","Points","PointShare","Shots","ShootPerc","FirstYear","LastYear"
"1114","Frank Corrado",232,23,42,64,10.5,307,6.01666666666667,2013,2018
"1115","Frank Vatrano",205,49,29,78,8.5,495,9.475,2016,2019
"1116","Frans Nielsen",922,187,324,511,48.9,1768,10.2307692307692,2007,2019
"1117","Frantisek Kaberle",579,30,166,196,30.7,760,3.91,2000,2009
"1118","Frantisek Kucera",111,3,20,23,4.8,127,2.4,2001,2002
"1119","Frantisek Musil",108,2,10,12,2.7,47,2.4,1999,2001
"1120","Frazer McLaren",175,16,29,45,3.4,222,6.78,2010,2014
"1121","Freddie Hamilton",195,13,16,30,-2.77555756156289e-17,237,5.72,2014,2018
"1122","Freddy Meyer",404,25,99,125,21.7,437,6.51428571428571,2004,2011
"1123","Frederick Gaudreau",177,28,21,49,3.8,250,10.2666666666667,2017,2019
"1124","Frederik Gauthier",176,11,27,37,1.8,164,8.025,2016,2019
"1125","Fredrik Bremberg",27,2,1,3,-0.3,29,7.5,1999,1999
"1126","Fredrik Claesson",216,14,54,68,11,267,5.95,2016,2019
"1127","Fredrik Modin",823,218,220,437,45.6,1806,11.7846153846154,1999,2011
"1128","Fredrik Olausson",235,35,78,113,21.8,340,8.575,1999,2003
"1129","Fredrik Sjostrom",524,49,59,108,3.8,673,7.0375,2004,2011
"1130","Gabe Gauthier",141,17,26,42,3.8,205,8,2007,2008
"1131","Gabriel Bourque",427,44,66,109,7.9,451,9.7375,2012,2019
"1132","Gabriel Carlsson",117,6,29,35,5.9,162,2.1,2017,2019
"1133","Gabriel Dumont",347,60,97,156,15.6,613,8.68333333333333,2012,2018
"1134","Gabriel Landeskog",579,177,239,416,47.5,1579,11.125,2012,2019
"1135","Gaetan Royer",77,6,10,16,0.5,105,5.9,2002,2002
"1136","Garnet Exelby",492,14,55,69,12.4,318,4.4375,2003,2010
"1137","Garnet Hathaway",232,38,41,79,8.2,305,10.35,2016,2019
"1138","Garret Stroshein",71,6,9,15,0.4,117,4.7,2004,2004
"1139","Garrett Burnett",39,1,2,3,0.2,24,4.2,2004,2004
"1140","Garrett Mitchell",71,9,12,21,1.6,93,9.8,2017,2017
"1141","Garrett Stafford",203,15,71,87,15.7,316,4.26666666666667,2008,2011
"1142","Garrett Wilson",175,21,26,48,4.1,244,7.15,2014,2019
"1143","Garry Galley",186,19,47,66,12.2,267,7,1999,2001
"1144","Garry Valk",363,39,74,112,7.7,418,9,1999,2003
"1145","Garth Murray",243,25,38,63,5.3,220,11.14,2004,2009
"1146","Gary Roberts",727,203,246,450,47.9,1307,15.0454545454545,1999,2009
"1147","Gary Suter",308,30,109,139,26.2,641,4.725,1999,2002
"1148","Gavin Bayreuther",85,10,18,29,4.5,152,6.6,2019,2019
"1149","Gavin Morgan",71,9,16,25,2.4,113,7.8,2004,2004
