"","Player","GamesPlayed","Goals","Assists","Points","PointShare","Shots","ShootPerc","FirstYear","LastYear"
"1","Aaron Downey",449,30,45,74,4.7,391,8.15,2000,2009
"2","Aaron Ekblad",391,66,105,171,34.7,946,7.08,2015,2019
"3","Aaron Gagnon",218,28,41,71,4.8,335,9.375,2010,2013
"4","Aaron Gavey",406,77,106,186,19,695,10.6,1999,2006
"5","Aaron Johnson",366,17,59,77,14.9,335,5.11111111111111,2004,2013
"6","Aaron MacKenzie",81,12,43,55,12.2,191,6.6,2009,2009
"7","Aaron Miller",623,30,100,129,30.4,624,3.82,1999,2008
"8","Aaron Ness",356,52,115,174,28.5,636,6.8,2012,2018
"9","Aaron Palushaj",168,18,36,55,4.5,246,5.725,2011,2014
"10","Aaron Rome",393,30,56,86,15.2,438,4.5125,2007,2014
"11","Aaron Volpatti",199,32,33,65,7.8,245,9.06,2011,2015
"12","Aaron Voros",191,21,21,42,2.7,196,11.35,2008,2011
"13","Aaron Ward",794,39,102,141,30.6,634,5.98333333333333,1999,2010
"14","Adam Almqvist",24,0,3,3,-0.3,26,0,2014,2014
"15","Adam Berti",22,0,5,5,0,15,0,2008,2008
"16","Adam Burish",591,52,71,124,5.7,690,6.44444444444444,2007,2015
"17","Adam Burt",162,1,12,13,4.8,128,0.666666666666667,1999,2001
"18","Adam Clendening",199,8,33,41,8.7,199,4.32,2015,2019
"19","Adam Cracknell",477,73,77,151,12.9,648,10.8888888888889,2011,2019
"20","Adam Deadmarsh",336,96,114,209,21.7,654,14.68,1999,2003
"21","Adam Erne",114,13,14,27,1.7,139,9.26666666666667,2017,2019
"22","Adam Foote",789,51,183,234,51.4,847,5.16923076923077,1999,2011
"23","Adam Gaudette",137,25,42,68,5.9,263,9.55,2018,2019
"24","Adam Graves",404,97,71,168,14,826,11,1999,2003
"25","Adam Hall",794,72,101,173,5.8,1093,5.58333333333333,2002,2014
"26","Adam Henrique",673,173,208,382,43.4,1185,14.7111111111111,2011,2019
"27","Adam Johnson",48,5,20,25,2,106,5,2019,2019
"28","Adam Larsson",498,20,101,121,28.8,568,3.425,2012,2019
"29","Adam Lowry",359,53,60,113,8.8,474,11.06,2015,2019
"30","Adam Mair",774,51,104,155,7.5,784,5.69166666666667,2000,2011
"31","Adam McQuaid",535,16,61,77,23.4,425,4.1,2010,2019
"32","Adam Oates*",429,65,283,348,29.1,445,13.8,1999,2004
"33","Adam Pardy",443,14,72,86,18.2,445,2.03333333333333,2009,2017
"34","Adam Payerl",73,23,30,54,7.1,179,13.5,2014,2014
"35","Adam Pelech",244,14,58,72,14.4,328,4.675,2016,2019
"36","Adam Pineault",80,29,46,78,9.5,178,19.5,2008,2008
"37","Adrian Aucoin",1033,108,254,363,76,1922,4.82666666666667,1999,2013
"38","Adrian Kempe",187,30,41,71,6.6,269,9.96666666666667,2017,2019
"39","Aki Berg",516,14,54,69,16,391,3.65714285714286,2000,2006
"40","Akim Aliu",139,33,63,95,9.9,346,9.85,2012,2013
"41","Al MacInnis*",430,78,227,305,59.4,1436,5.41666666666667,1999,2004
"42","Alain Nasreddine",295,18,91,110,24.5,468,3.3,1999,2008
"43","Alan Letang",178,7,32,39,7,182,3.33333333333333,2000,2003
"44","Alan Quine",228,48,57,105,11.5,424,8.575,2016,2019
"45","Alec Martinez",573,61,134,195,45.4,838,6.51,2010,2019
"46","Aleksander Barkov",413,135,210,345,38.8,985,13.4833333333333,2014,2019
"47","Aleksey Morozov",375,71,122,193,17.7,588,12.4666666666667,1999,2004
"48","Ales Hemsky",982,203,458,660,63,1928,10.775,2003,2018
"49","Ales Kotalik",601,143,155,298,28.6,1458,9.59,2002,2011
"50","Ales Pisa",82,1,6,7,2.9,64,1.35,2002,2003
"51","Alex Biega",199,5,36,40,7.1,287,2.1,2015,2019
"52","Alex Broadhurst",78,25,28,53,6.7,179,16.7,2018,2018
"53","Alex Brooks",80,2,9,11,3.3,50,2.6,2007,2007
"54","Alex Chiasson",508,83,97,180,15.6,696,12.1428571428571,2013,2019
"55","Alex DeBrincat",164,69,59,128,15.3,401,17.05,2018,2019
"56","Alex Formenton",116,30,68,95,10,252,10.65,2018,2019
"57","Alex Foster",78,18,22,40,3.9,138,14.5,2008,2008
"58","Alex Friesen",41,4,10,14,1,54,7.3,2016,2016
"59","Alex Frolov",636,183,252,434,47.1,1376,12.7666666666667,2003,2011
"60","Alex Galchenyuk",490,127,169,296,32.3,1029,12.5,2013,2019
"61","Alex Goligoski",872,79,309,388,69.1,1341,5.85833333333333,2008,2019
"62","Alex Grant",94,2,20,21,4,97,1.2,2014,2016
"63","Alex Henry",289,33,49,81,8,310,4.72,2003,2009
"64","Alex Hicks",120,23,30,54,5.2,230,6.35,1999,2000
"65","Alex Iafallo",157,24,34,58,4.4,277,8.55,2018,2019
"66","Alex Killorn",517,105,156,261,26.2,1024,10.1571428571429,2013,2019
"67","Alex Kovalev",1007,321,453,774,80.3,2724,11.7857142857143,1999,2013
"68","Alex Ovechkin",1084,658,553,1211,163.7,5234,12.6428571428571,2006,2019
"69","Alex Pietrangelo",823,109,349,457,92.1,1835,5.98181818181818,2009,2019
"70","Alex Plante",193,36,44,80,12.9,293,9.7,2010,2012
"71","Alex Selivanov",198,49,50,99,10.2,403,12.5666666666667,1999,2001
"72","Alex Steen",963,238,367,605,63.5,2360,9.95,2006,2019
"73","Alex Tanguay",1223,332,625,954,107.8,1930,17.4411764705882,2000,2016
"74","Alex Tuch",208,42,62,104,10.3,417,10.2666666666667,2017,2019
"75","Alex Zhamnov",509,121,270,391,35.7,1105,10.2,1999,2006
"76","Alexander Burmistrov",348,37,64,101,4.8,435,8.91666666666667,2011,2018
"77","Alexander Edler",814,94,274,368,65.8,1804,5.73076923076923,2007,2019
"78","Alexander Karpovtsev",385,15,97,113,22.4,369,4.34285714285714,1999,2006
"79","Alexander Kerfoot",157,34,51,85,7.9,197,18.2,2018,2019
"80","Alexander Kharitonov",119,15,29,45,3.8,187,8.65,2001,2002
"81","Alexander Khavanov",417,34,87,121,26.2,498,7.33333333333333,2001,2006
"82","Alexander Khokhlachev",212,33,49,81,8.5,313,10.4666666666667,2014,2016
"83","Alexander Korolyuk",277,60,77,137,15.9,517,11.22,1999,2004
"84","Alexander Mogilny",457,174,242,416,49.2,1176,14.0625,1999,2006
"85","Alexander Nikulin",107,30,35,65,7.1,226,10.65,2008,2009
"86","Alexander Nylander",132,22,15,37,3.2,196,11.7333333333333,2017,2019
"87","Alexander Perezhogin",128,15,19,34,3.2,212,7.05,2006,2007
"88","Alexander Petrovic",339,9,57,67,13.9,340,2.35714285714286,2013,2019
"89","Alexander Radulov",428,132,184,316,36.8,950,14.1333333333333,2007,2019
"90","Alexander Semin",717,259,300,559,70.7,2034,12.1181818181818,2004,2016
"91","Alexander Suglobov",206,58,71,128,14.7,448,11.8333333333333,2004,2007
"92","Alexander Sulzer",264,25,53,78,13.5,303,5.76666666666667,2009,2014
"93","Alexander Svitov",179,13,24,37,1.2,204,6,2003,2007
"94","Alexander Urbom",269,17,70,89,16.5,388,4.2,2011,2014
"95","Alexander Vasyunov",77,19,17,36,3.7,181,11.4,2011,2011
"96","Alexander Wennberg",358,35,144,179,13.4,429,7.74,2015,2019
"97","Alexandre Boikov",110,4,20,24,5.4,154,2.5,2000,2001
"98","Alexandre Bolduc",256,22,32,54,4.7,260,8.86666666666667,2009,2015
"99","Alexandre Burrows",913,205,204,409,47.1,1736,10.9538461538462,2006,2018
"100","Alexandre Carrier",78,9,23,33,6.5,133,5.9,2017,2017
"101","Alexandre Daigle",315,47,86,133,11.8,410,10.15,1999,2006
"102","Alexandre Fortin",24,3,3,6,0.2,29,10.3,2019,2019
"103","Alexandre Giroux",438,115,155,270,29.2,906,11.9166666666667,2006,2012
"104","Alexandre Grenier",130,36,50,83,9.2,376,8.75,2016,2017
"105","Alexandre Picard",355,37,77,114,17.5,466,7.77142857142857,2006,2012
"106","Alexandre Texier",74,14,31,45,4,168,7.9,2019,2019
"107","Alexandre Volchkov",27,3,3,6,0.8,24,11.1,2000,2000
"108","Alexei Emelin",456,15,66,81,18.3,408,4.31428571428571,2012,2018
"109","Alexei Gusarov",139,6,20,26,5.4,79,8.7,1999,2001
"110","Alexei Kaigorodov",82,27,33,59,6.7,208,12.9,2007,2007
"111","Alexei Mikhnov",82,21,21,41,4,176,11.3,2007,2007
"112","Alexei Ponikarovsky",820,168,223,390,39.1,1595,9.64615384615385,2001,2013
"113","Alexei Semenov",267,20,51,71,12.6,267,5.78571428571429,2003,2009
"114","Alexei Smirnov",124,26,34,63,7.5,225,9.65,2003,2004
"115","Alexei Tezikov",156,23,36,59,7.8,298,7.4,1999,2002
"116","Alexei Vasiliev",25,1,0,2,0.6,12,10.4,2000,2000
"117","Alexei Yashin",592,225,308,533,59.3,1884,11.875,1999,2007
"118","Alexei Zhitnik",733,43,216,258,47.9,1280,3.45,1999,2008
"119","Alexey Marchenko",255,12,45,58,11.9,288,3.8,2014,2017
"120","Allan Rourke",198,13,58,71,11.4,332,3.975,2004,2008
"121","Alyn McCauley",629,126,159,286,29.4,1109,11.1888888888889,1999,2007
"122","Anders Bjork",80,18,24,42,4.7,164,12.7,2018,2019
"123","Anders Eriksson",608,22,183,207,38.3,718,2.78888888888889,1999,2010
"124","Anders Lee",468,159,112,270,33.3,1111,13.8142857142857,2013,2019
"125","Anders Myrvold",89,3,16,20,5.2,110,3.6,2001,2004
"126","Andre Benoit",320,17,66,84,17,383,4.24,2011,2016
"127","Andre Burakovsky",328,62,83,145,16.3,486,12.88,2015,2019
"128","Andre Deveaux",156,26,33,59,7.4,268,6.96666666666667,2009,2012
"129","Andre Petersson",33,1,0,1,-1,26,4.1,2012,2012
"130","Andre Roy",571,35,39,74,4.2,396,9.29,2000,2009
"131","Andre Savage",267,72,101,171,20.2,612,11.25,1999,2003
"132","Andreas Athanasiou",248,73,57,130,14.3,559,13.825,2016,2019
"133","Andreas Borgman",48,3,8,11,2.2,46,6.5,2018,2018
"134","Andreas Dackell",452,64,122,186,15,485,12.9666666666667,1999,2004
"135","Andreas Englund",138,12,19,32,4.4,195,6.06666666666667,2017,2019
"136","Andreas Engqvist",143,30,70,101,11.8,368,9.9,2011,2012
"137","Andreas Johansson",282,72,68,140,15.2,542,12.68,1999,2004
"138","Andreas Johnsson",136,28,28,56,5.5,191,12.75,2018,2019
"139","Andreas Karlsson",264,16,35,51,0.5,254,6.74,2000,2008
"140","Andreas Lilja",754,32,121,152,35.4,729,4.14615384615385,2001,2013
"141","Andreas Martinsen",224,21,42,63,3.7,300,6.175,2016,2019
"142","Andreas Nodl",234,24,29,54,4.8,286,7.6,2009,2013
"143","Andreas Salomonsson",71,5,9,14,0.2,78,5.95,2002,2003
"144","Andreas Thuresson",70,5,9,14,0.6,96,5.05,2010,2011
"145","Andrei Bashkirov",156,42,41,84,9.2,382,11.3333333333333,1999,2001
"146","Andrei Kostitsyn",467,130,149,278,33.6,1011,11.8714285714286,2006,2012
"147","Andrei Kovalenko",226,50,66,116,10.4,337,14.9666666666667,1999,2001
"148","Andrei Loktionov",290,57,60,117,12,506,11.46,2010,2014
"149","Andrei Markov",1138,136,469,606,108.3,1821,7.09411764705882,2001,2017
"150","Andrei Mironov",74,2,16,18,4.7,123,1.7,2018,2018
"151","Andrei Nazarov",467,43,71,114,8.4,534,7.92857142857143,1999,2006
"152","Andrei Nikolishin",419,56,111,167,12.4,651,8.51666666666667,1999,2004
"153","Andrei Skopintsev",137,0,17,17,3,84,0,1999,2001
"154","Andrei Svechnikov",82,20,17,37,3.9,189,10.6,2019,2019
"155","Andrei Vasilyev",82,9,17,26,3.7,122,7.5,1999,1999
"156","Andrei Zubarev",34,0,5,5,1.3,46,0,2011,2011
"157","Andrei Zyuzin",487,38,82,120,22.8,706,5.22,1999,2008
"158","Andrej Meszaros",663,65,175,240,42.9,1112,6.17,2006,2015
"159","Andrej Nedorost",192,25,54,80,7.5,263,6.56666666666667,2002,2004
"160","Andrej Nestrasil",180,28,59,87,9,285,9.96666666666667,2015,2017
"161","Andrej Podkonicky",158,50,74,126,15.1,405,11.6,2001,2004
"162","Andrej Sekera",762,46,193,239,46,1004,4.12307692307692,2007,2019
"163","Andrej Sustr",394,13,66,79,15.6,395,2.92857142857143,2013,2019
"164","Andrew Agozzino",213,40,65,104,9.8,385,8.6,2015,2019
"165","Andrew Alberts",489,13,58,71,16,324,3.75555555555556,2006,2014
"166","Andrew Bodnarchuk",65,1,5,6,-0.1,25,3.1,2010,2016
"167","Andrew Brunette",1129,275,482,757,76,1666,16.9428571428571,1999,2012
"168","Andrew Campbell",141,8,24,32,5.4,142,4.96666666666667,2014,2016
"169","Andrew Cassels",505,94,262,357,31.1,722,13.1625,1999,2006
"170","Andrew Cogliano",944,163,222,385,37.6,1558,10.9166666666667,2008,2019
"171","Andrew Copp",331,43,54,97,9.2,378,11.58,2015,2019
"172","Andrew Crescenzi",81,36,45,82,9.8,206,18.6,2018,2018
"173","Andrew Desjardins",437,27,43,70,1.5,497,5.21428571428571,2011,2017
"174","Andrew Ebbett",401,62,119,182,17.2,691,8.2125,2008,2015
"175","Andrew Ference",1043,49,224,274,54.8,1262,4.02352941176471,2000,2016
"176","Andrew Gordon",296,56,55,117,12.5,510,10.58,2009,2013
"177","Andrew Hutchinson",243,25,46,71,10.5,312,6.68,2004,2011
"178","Andrew Joudrey",83,8,11,19,1.3,102,7.6,2012,2012
"179","Andrew Ladd",946,248,289,537,59,2089,11.9142857142857,2006,2019
"180","Andrew MacDonald",619,29,136,164,31.5,633,4.26363636363636,2009,2019
"181","Andrew MacWilliam",69,4,15,19,3.4,71,5.4,2015,2015
"182","Andrew Mangiapane",117,15,10,25,2.6,138,11.05,2018,2019
"183","Andrew Miller",138,20,34,54,4.6,227,8.9,2015,2016
"184","Andrew Murray",241,25,16,41,2.3,305,7.68333333333333,2008,2013
"185","Andrew Peters",301,17,11,29,1.3,171,5.2,2004,2010
"186","Andrew Poturalski",64,31,23,54,7.5,177,20,2017,2017
"187","Andrew Shaw",504,111,122,233,25.3,942,12.1625,2012,2019
"188","Andrey Pedan",53,3,8,11,2.7,43,7,2016,2016
"189","Andy Andreoff",199,19,17,36,2.4,199,9.025,2015,2018
"190","Andy Delmore",422,55,98,154,27.8,795,6.61428571428571,1999,2006
"191","Andy Greene",870,47,188,235,55.6,964,4.76153846153846,2007,2019
"192","Andy Hilbert",488,86,132,220,20.4,933,9.1625,2002,2010
"193","Andy McDonald",794,198,335,534,56.6,1807,10.8538461538462,2001,2013
"194","Andy Miele",136,10,12,23,1.2,143,6.3,2012,2014
"195","Andy Roach",74,3,27,30,5.2,104,2.6,2006,2006
"196","Andy Sutton",745,44,131,175,35.2,792,5.02142857142857,1999,2012
"197","Andy Welinski",101,9,30,39,6.4,141,5.25,2018,2019
"198","Andy Wozniewski",327,16,81,97,19.4,421,3.6,2006,2010
"199","Anson Carter",638,187,197,384,40.7,1203,15.5666666666667,1999,2007
"200","Anssi Salmela",112,4,17,21,4,139,3.03333333333333,2009,2011
"201","Anthony Beauvillier",218,48,40,88,8.9,389,12.1,2017,2019
"202","Anthony Bitetto",166,6,26,32,4.6,135,3.56,2015,2019
"203","Anthony Cirelli",162,33,35,69,7.3,269,12.7,2018,2019
"204","Anthony DeAngelo",132,9,43,52,6.6,239,3.96666666666667,2017,2019
"205","Anthony Duclair",342,69,75,145,15.5,551,12.06,2015,2019
"206","Anthony Greco",58,12,16,27,2.8,79,15.2,2019,2019
"207","Anthony Mantha",269,76,72,149,17.3,599,12.65,2016,2019
"208","Anthony Peluso",362,71,110,183,19.8,603,9.55,2013,2019
"209","Anthony Richard",82,22,33,55,5.6,243,9.5,2019,2019
"210","Anthony Stewart",346,37,61,97,8,431,6.83333333333333,2006,2012
"211","Antoine Roussel",478,73,99,172,15.6,634,11.7142857142857,2013,2019
"212","Antoine Vermette",1127,258,317,574,54.7,2020,12.52,2004,2018
"213","Anton Babchuk",378,40,86,126,25.8,524,6.37142857142857,2004,2013
"214","Anton Belov",57,1,6,7,0.9,54,1.9,2014,2014
"215","Anton Blidh",186,47,49,95,11.1,337,13.9333333333333,2017,2019
"216","Anton Klementyev",81,1,8,10,2.8,67,1.4,2010,2010
"217","Anton Lander",243,19,28,47,0.5,269,6.21666666666667,2012,2017
"218","Anton Lindholm",166,9,29,38,7.9,150,4.63333333333333,2017,2019
"219","Anton Rodin",79,36,29,64,8,280,13.6,2017,2017
"220","Anton Slepyshev",155,21,20,41,3.4,252,8.5,2016,2018
"221","Anton Stralman",749,47,195,242,48.9,1092,4.23333333333333,2008,2019
"222","Anton Volchenkov",718,18,116,134,33.4,724,2.13333333333333,2003,2015
"223","Antti-Jussi Niemi",92,1,6,7,1.5,58,2.8,2001,2002
"224","Antti Aalto",174,16,31,47,2.2,218,7.83333333333333,1999,2001
"225","Antti Laaksonen",575,102,110,214,19.3,831,13.4777777777778,1999,2007
"226","Antti Miettinen",556,101,135,237,22.9,1050,9.8,2004,2013
"227","Antti Pihlstrom",120,8,10,18,0.6,132,8.1,2008,2009
"228","Antti Suomela",27,3,5,8,0.6,42,7.1,2019,2019
"229","Anze Kopitar",1003,312,576,888,99.9,2465,12.5230769230769,2007,2019
"230","Aris Brimanis",264,15,38,54,7.9,320,3.225,2000,2004
"231","Arron Asham",954,110,132,242,19.2,1059,10.5,1999,2014
"232","Artem Anisimov",784,175,208,383,39.1,1447,12.7090909090909,2009,2019
"233","Artem Chubarov",277,26,36,62,2.8,339,6.5,2000,2004
"234","Artemi Panarin",322,116,204,320,38.3,817,14.3,2016,2019
"235","Artturi Lehkonen",221,41,39,80,7.1,498,8.33333333333333,2017,2019
"236","Arturs Kulda",182,18,60,79,13.4,285,3.83333333333333,2010,2012
"237","Ashton Sautner",106,3,16,19,4.5,87,3.55,2018,2019
"238","Austin Czarnik",126,11,26,37,2.1,152,5.6,2017,2019
"239","Austin Wagner",62,12,9,21,2.7,67,17.9,2019,2019
"240","Austin Watson",298,34,38,72,5.6,365,8.92,2013,2019
"241","Auston Matthews",212,111,94,205,27,717,15.7333333333333,2017,2019
"242","Barclay Goodrow",309,47,71,118,11.6,496,8.34,2015,2019
"243","Barret Jackman",1009,39,196,235,55.4,1108,3.55714285714286,2002,2016
"244","Barrett Heisten",80,27,32,59,6.5,193,13.9,2002,2002
"245","Barrie Moore",32,4,3,7,0.7,35,10.7,2000,2000
"246","Barry Richter",177,11,39,50,10.1,207,3.73333333333333,1999,2001
"247","Barry Tallackson",274,53,91,144,12.9,459,11.325,2006,2009
"248","Bates Battaglia",592,92,142,235,19.1,846,11.1625,1999,2008
"249","Beau Bennett",276,44,61,104,10.3,458,9.48333333333333,2013,2018
"250","Ben Chiarot",378,16,65,81,16.2,407,3.93333333333333,2014,2019
"251","Ben Clymer",518,87,118,205,19.2,999,8.875,2000,2007
"252","Ben Eager",440,48,42,90,6.6,418,10.7666666666667,2006,2014
"253","Ben Gleason",64,0,10,10,1.6,73,0,2019,2019
"254","Ben Guite",276,48,78,129,12,488,8.04,2006,2010
"255","Ben Hanowski",122,17,21,37,2.6,178,6.1,2013,2014
"256","Ben Harpur",196,6,31,37,4,230,1.7,2016,2019
"257","Ben Holmstrom",110,10,25,35,3.1,187,6.1,2011,2012
"258","Ben Hutton",276,11,59,70,9.7,451,2.3,2016,2019
"259","Ben Lovejoy",594,23,84,107,25,760,2.80909090909091,2009,2019
"260","Ben Maxwell",318,47,71,119,10.2,517,9.75,2009,2012
"261","Ben Ondrus",225,36,39,75,5,351,7.925,2006,2009
"262","Ben Sexton",73,6,8,15,0.3,104,5.9,2018,2018
"263","Ben Simon",289,69,111,182,19.3,613,11.55,2002,2006
"264","Ben Smith",428,87,79,168,17.7,761,11.4,2011,2017
"265","Ben Street",308,83,90,170,19.4,645,12.9333333333333,2013,2019
"266","Ben Thomson",62,6,4,10,0.6,53,10.5,2017,2017
"267","Ben Walter",380,75,116,193,18.5,797,9.84,2006,2010
"268","Benn Ferriero",191,24,24,48,4.4,262,9.6,2010,2014
"269","Benoit Brunet",206,40,57,97,9.2,351,10.8,1999,2002
"270","Benoit Dusablon",78,12,14,26,1.9,159,8.3,2004,2004
"271","Benoit Gratton",361,77,85,159,16.8,543,13.98,1999,2004
"272","Benoit Hogue",193,25,42,67,4.6,237,10.725,1999,2002
"273","Benoit Pouliot",734,138,154,293,34.8,1101,12.475,2007,2018
"274","Bernie Nicholls",75,16,41,59,6.3,169,9.5,1999,1999
"275","Bert Robertsson",114,4,8,12,1.7,58,9,1999,2001
"276","Bill Arnold",74,27,25,53,6.9,241,11.6,2014,2014
"277","Bill Berg",44,2,2,4,0,40,5,1999,1999
"278","Bill Bowler",68,3,12,15,0.5,100,3.5,2001,2001
"279","Bill Guerin",908,315,313,627,71.7,2772,11.0583333333333,1999,2010
"280","Bill Houlder",392,18,61,79,21.2,377,4.04,1999,2003
"281","Bill Huard",135,40,55,95,10.9,237,17.95,1999,2000
"282","Bill Lindsay",404,44,71,115,7,593,5.75,1999,2004
"283","Bill Muckalt",330,52,98,151,14.5,539,9.1,1999,2003
"284","Bill Sweatt",128,22,38,60,6.2,195,11.8,2012,2013
"285","Bill Thomas",298,71,87,161,19.7,645,11.8666666666667,2006,2012
"286","Billy Tibbetts",152,15,26,41,2,234,5.5,2001,2003
"287","Bjorn Melin",74,17,19,37,3.5,124,12.7,2007,2007
"288","Blair Atcheynum",194,40,40,82,7.6,318,11.9333333333333,1999,2001
"289","Blair Betts",622,71,86,157,10.9,832,8.25555555555555,2002,2011
"290","Blair Jones",448,80,95,173,16.8,766,9.425,2007,2015
"291","Blake Bellefeuille",163,45,51,94,9.4,306,14.55,2002,2003
"292","Blake Coleman",180,36,27,63,5.4,388,7.53333333333333,2017,2019
"293","Blake Comeau",830,129,182,311,24.2,1404,8.83846153846154,2007,2019
"294","Blake Geoffrion",102,20,24,43,5,159,10.25,2011,2012
"295","Blake Hillman",57,2,11,13,2.8,65,2.9,2018,2018
"296","Blake Lizotte",81,11,15,26,1.9,136,7.7,2019,2019
"297","Blake Pietila",238,42,60,102,10.1,405,9.575,2016,2019
"298","Blake Sloan",325,15,41,56,1.7,317,4.3,1999,2004
"299","Blake Speers",68,7,14,21,0.9,94,6.8,2017,2017
"300","Blake Wheeler",860,242,454,696,78,2286,10.8727272727273,2009,2019
"301","Bo Horvat",377,98,124,222,22.2,791,12.56,2015,2019
"302","Bob Bassen",68,2,5,7,-1,73,2.95,1999,2000
"303","Bob Boughner",483,13,49,62,15.5,330,3.7125,1999,2006
"304","Bob Carpenter",56,2,8,10,-0.3,69,2.9,1999,1999
"305","Bob Corkum",272,24,28,52,-1.2,337,7.925,1999,2002
"306","Bob Probert",287,19,40,59,2.3,203,9.275,1999,2002
"307","Bob Rouse",96,0,12,12,3,95,0,1999,2000
"308","Bob Wren",108,22,24,47,4.8,187,12.45,2001,2002
"309","Bobby Allen",146,2,15,18,4.3,136,1.16666666666667,2003,2008
"310","Bobby Butler",225,45,42,88,8.2,369,11.22,2010,2014
"311","Bobby Dollas",141,6,16,22,5.3,81,7.76666666666667,1999,2001
"312","Bobby Farnham",212,45,43,88,9.7,411,12.9,2015,2017
"313","Bobby Holik",835,194,281,476,48.2,2188,8.65454545454545,1999,2009
"314","Bobby Robins",72,6,15,22,0.7,125,4.7,2015,2015
"315","Bobby Ryan",809,249,298,547,62.9,2021,12.225,2008,2019
"316","Bobby Sanguinetti",178,12,25,37,6.1,250,3.56666666666667,2010,2013
"317","Bogdan Kiselevich",32,0,8,8,1,14,0,2019,2019
"318","Bogdan Yakimov",47,4,6,10,0.7,65,5.9,2015,2015
"319","Boo Nieves",138,15,28,43,3.1,154,8.9,2017,2019
"320","Boone Jenner",419,102,97,199,21.6,1003,10.2666666666667,2014,2019
"321","Boris Mironov",394,38,120,158,28.8,788,5.03333333333333,1999,2004
"322","Boris Valabik",111,0,11,11,0.8,62,0,2008,2010
"323","Borna Rendulic",157,19,41,59,5,196,7.6,2015,2017
"324","Boyd Devereaux",634,68,112,180,13.2,769,9.38181818181818,1999,2009
"325","Boyd Gordon",847,90,162,255,14.7,1129,6.84285714285714,2004,2017
"326","Boyd Kane",295,65,86,151,17.3,529,11.82,2004,2010
"327","Bracken Kearns",233,40,43,85,8.9,381,9.74,2012,2017
"328","Brad Bombardir",313,7,41,48,12.7,278,3.78333333333333,1999,2004
"329","Brad Boyes",885,231,325,554,58.7,1914,11.7416666666667,2004,2016
"330","Brad Brown",322,2,27,29,6,108,1.81666666666667,1999,2004
"331","Brad Chartrand",288,35,44,79,7,358,10.4,2000,2004
"332","Brad DeFauw",66,6,3,9,0.5,48,12.4,2003,2003
"333","Brad Fast",48,3,13,16,3.5,60,4.4,2004,2004
"334","Brad Ference",355,12,36,49,7.5,241,4.78333333333333,2000,2007
"335","Brad Hunt",240,13,47,59,10.2,309,4.05,2014,2019
"336","Brad Isbister",563,118,135,254,22.5,993,10.48,1999,2008
"337","Brad Larsen",375,24,37,61,-0.4,269,7.9625,2001,2008
"338","Brad Leeb",180,21,25,46,3,242,8.4,2000,2004
"339","Brad Lukowich",877,27,113,140,37.9,666,3.98461538461538,1999,2011
"340","Brad Malone",421,65,91,156,14.8,633,10.6571428571429,2012,2019
"341","Brad Marchand",737,274,312,585,79.7,1751,15.66,2010,2019
"342","Brad May",665,61,85,146,9.7,721,7.30833333333333,1999,2010
"343","Brad Mills",169,34,67,101,11,270,9,2011,2014
"344","Brad Moran",216,40,55,96,9,396,10.9333333333333,2002,2007
"345","Brad Norton",227,5,30,35,6.1,157,3.78,2002,2007
"346","Brad Ralph",69,13,21,33,3.2,117,11.2,2001,2001
"347","Brad Richards",1208,325,698,1020,101.6,3630,9.1875,2001,2016
"348","Brad Richardson",850,137,181,318,28.6,1437,8.66428571428571,2006,2019
"349","Brad Shaw",78,4,9,13,2.6,65,6.3,1999,1999
"350","Brad Smyth",168,9,15,24,0.7,133,6.66666666666667,1999,2003
"351","Brad Staubitz",253,11,13,24,0.7,129,8.34,2009,2013
"352","Brad Stuart",1165,84,281,366,71.6,1721,4.59411764705882,2000,2016
"353","Brad Tapper",118,19,19,38,3.3,161,11.3333333333333,2001,2003
"354","Brad Tiley",108,9,22,31,6.7,120,7.5,1999,2001
"355","Brad Werenka",187,11,31,42,10.5,162,6.2,1999,2001
"356","Brad Winchester",399,37,30,67,3.9,417,7.05714285714286,2006,2012
"357","Brady Austin",82,6,22,28,6,140,4.3,2017,2017
"358","Brady Keeper",82,19,36,54,9.2,221,8,2019,2019
"359","Brady Murray",24,3,4,7,0.6,22,16.7,2008,2008
"360","Brady Skjei",312,23,80,104,16.3,468,5.6,2016,2019
"361","Brady Tkachuk",71,22,23,45,4.4,214,10.3,2019,2019
"362","Brandon Bochenski",226,42,59,101,9.9,378,10.42,2006,2010
"363","Brandon Bollig",294,16,17,32,-0.4,313,5.1,2012,2016
"364","Brandon Carlo",230,8,24,32,12.2,280,2.83333333333333,2017,2019
"365","Brandon Convery",66,9,30,40,4,98,9.8,1999,1999
"366","Brandon Davidson",288,26,63,89,17.4,487,4.86,2015,2019
"367","Brandon DeFazio",59,1,6,7,-0.6,53,2.6,2015,2015
"368","Brandon Dubinsky",882,159,302,461,44.4,1715,8.94615384615385,2007,2019
"369","Brandon Gignac",61,12,27,39,3.8,127,9.4,2019,2019
"370","Brandon Gormley",108,7,29,37,7.1,145,3.36666666666667,2014,2016
"371","Brandon Kozun",57,5,8,13,1.7,50,10.8,2015,2015
"372","Brandon Manning",392,22,75,98,17.5,564,3.64285714285714,2012,2019
"373","Brandon Mashinter",238,49,65,113,12.7,425,13.025,2011,2016
"374","Brandon McMillan",202,15,28,43,0.9,237,4.76,2011,2015
