"","Draft_year","Team","perc_need","perc_bpa"
"123",2015,"Saints",66.6666666666667,33.3333333333333
"124",2015,"Seahawks",0,100
"125",2015,"Steelers",75,25
"126",2015,"Texans",42.8571428571429,57.1428571428571
"127",2015,"Titans",100,0
"128",2015,"Vikings",90,10
"129",2016,"49ers",81.8181818181818,18.1818181818182
"130",2016,"Bears",100,0
"131",2016,"Bengals",14.2857142857143,85.7142857142857
"132",2016,"Bills",57.1428571428571,42.8571428571429
"133",2016,"Broncos",50,50
"134",2016,"Browns",78.5714285714286,21.4285714285714
"135",2016,"Buccaneers",42.8571428571429,57.1428571428571
"136",2016,"Cardinals",0,100
"137",2016,"Chargers",37.5,62.5
"138",2016,"Chiefs",66.6666666666667,33.3333333333333
"139",2016,"Colts",100,0
"140",2016,"Cowboys",44.4444444444444,55.5555555555556
"141",2016,"Dolphins",50,50
"142",2016,"Eagles",87.5,12.5
"143",2016,"Falcons",50,50
"144",2016,"Giants",83.3333333333333,16.6666666666667
"145",2016,"Jaguars",100,0
"146",2016,"Jets",14.2857142857143,85.7142857142857
"147",2016,"Lions",40,60
"148",2016,"Packers",42.8571428571429,57.1428571428571
"149",2016,"Panthers",20,80
"150",2016,"Patriots",11.1111111111111,88.8888888888889
"151",2016,"Raiders",85.7142857142857,14.2857142857143
"152",2016,"Rams",100,0
"153",2016,"Ravens",100,0
"154",2016,"Redskins",85.7142857142857,14.2857142857143
"155",2016,"Saints",80,20
"156",2016,"Seahawks",70,30
"157",2016,"Steelers",85.7142857142857,14.2857142857143
"158",2016,"Texans",33.3333333333333,66.6666666666667
"159",2016,"Titans",100,0
"160",2016,"Vikings",37.5,62.5
"161",2017,"49ers",70,30
"162",2017,"Bears",100,0
"163",2017,"Bengals",45.4545454545455,54.5454545454545
"164",2017,"Bills",50,50
"165",2017,"Broncos",62.5,37.5
"166",2017,"Browns",90,10
"167",2017,"Buccaneers",83.3333333333333,16.6666666666667
"168",2017,"Cardinals",85.7142857142857,14.2857142857143
"169",2017,"Chargers",57.1428571428571,42.8571428571429
"170",2017,"Chiefs",50,50
"171",2017,"Colts",75,25
"172",2017,"Cowboys",0,100
"173",2017,"Dolphins",85.7142857142857,14.2857142857143
"174",2017,"Eagles",62.5,37.5
"175",2017,"Falcons",83.3333333333333,16.6666666666667
"176",2017,"Giants",66.6666666666667,33.3333333333333
"177",2017,"Jaguars",71.4285714285714,28.5714285714286
"178",2017,"Jets",88.8888888888889,11.1111111111111
"179",2017,"Lions",66.6666666666667,33.3333333333333
"180",2017,"Packers",80,20
"181",2017,"Panthers",57.1428571428571,42.8571428571429
"182",2017,"Patriots",0,100
"183",2017,"Raiders",100,0
"184",2017,"Rams",100,0
"185",2017,"Ravens",57.1428571428571,42.8571428571429
"186",2017,"Redskins",80,20
"187",2017,"Saints",71.4285714285714,28.5714285714286
"188",2017,"Seahawks",18.1818181818182,81.8181818181818
"189",2017,"Steelers",37.5,62.5
"190",2017,"Texans",42.8571428571429,57.1428571428571
"191",2017,"Titans",33.3333333333333,66.6666666666667
"192",2017,"Vikings",36.3636363636364,63.6363636363636
"193",2018,"49ers",77.7777777777778,22.2222222222222
"194",2018,"Bears",42.8571428571429,57.1428571428571
"195",2018,"Bengals",36.3636363636364,63.6363636363636
"196",2018,"Bills",62.5,37.5
"197",2018,"Broncos",80,20
"198",2018,"Browns",88.8888888888889,11.1111111111111
"199",2018,"Buccaneers",87.5,12.5
"200",2018,"Cardinals",66.6666666666667,33.3333333333333
"201",2018,"Chargers",28.5714285714286,71.4285714285714
"202",2018,"Chiefs",83.3333333333333,16.6666666666667
"203",2018,"Colts",100,0
"204",2018,"Cowboys",44.4444444444444,55.5555555555556
"205",2018,"Dolphins",87.5,12.5
"206",2018,"Eagles",60,40
"207",2018,"Falcons",66.6666666666667,33.3333333333333
"208",2018,"Giants",100,0
"209",2018,"Jaguars",14.2857142857143,85.7142857142857
"210",2018,"Jets",83.3333333333333,16.6666666666667
"211",2018,"Lions",50,50
"212",2018,"Packers",63.6363636363636,36.3636363636364
"213",2018,"Panthers",50,50
"214",2018,"Patriots",44.4444444444444,55.5555555555556
"215",2018,"Raiders",77.7777777777778,22.2222222222222
"216",2018,"Rams",100,0
"217",2018,"Ravens",66.6666666666667,33.3333333333333
"218",2018,"Redskins",75,25
"219",2018,"Saints",42.8571428571429,57.1428571428571
"220",2018,"Seahawks",33.3333333333333,66.6666666666667
"221",2018,"Steelers",42.8571428571429,57.1428571428571
"222",2018,"Texans",87.5,12.5
"223",2018,"Titans",100,0
"224",2018,"Vikings",0,100
